baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,is_sig_fdr,is_sig_fdr_lfc
103.64292257078677,1.1354160916784488,0.3162907101820964,3.5897864057555204,0.00033094903101089755,0.018354153584626904,AT1G01010,True,True
305.0393200197909,-0.06597184150864291,0.24293940772888456,-0.2715567726347063,0.7859628411492151,0.9504303941758526,AT1G01020,False,False
49.83259607199809,-0.0967556053340866,0.4605251674459793,-0.21009840975832503,0.8335908666111648,0.9626128092835045,AT1G01030,False,False
75.34747806977862,-0.019502624005456055,0.43596318160265934,-0.044734566652536535,0.9643188810626953,0.9903828967382067,AT1G01040,False,False
0.0,,,,,,AT1G01046,False,False
1501.2278121389597,-0.5251551830453521,0.2149867859069964,-2.442732379247416,0.01457654198926046,0.1791404236482896,AT1G01050,False,False
175.75934758881058,-5.99476569478682,0.4609709738209037,-13.004648958907996,1.1512634974850351e-38,2.266607573848537e-34,AT1G01060,True,True
255.91848199097856,0.37666358059686755,0.33457838916225924,1.1257857434844616,0.2602562200391588,0.6714101585333296,AT1G01070,False,False
35.45903780973435,-0.006236105114654831,0.48610556872556837,-0.012828705359216803,0.9897644548131989,0.9975742355067821,AT1G01080,False,False
1063.292796603969,-0.1128131025636378,0.25410035529331715,-0.44397066046371164,0.657063796252644,0.903749617201485,AT1G01090,False,False
5748.932434257407,-0.5118834305357001,0.2249138472132202,-2.2759089174728775,0.02285146165672618,0.2300100087411171,AT1G01100,False,False
288.9935862116585,0.40666994546551566,0.3473133666657794,1.1709020858297552,0.24163813662752076,0.6517162804944987,AT1G01110,False,False
9.928742567631728,0.0009702006567718555,0.967054481153019,0.0010032533592265508,0.9991995197683824,0.9998873595324069,AT1G01120,False,False
10.236807193538374,-0.5428668081511112,0.8789555731671945,-0.6176271301118963,0.5368211566043237,0.8517919255488816,AT1G01130,False,False
37.44171954544092,1.1169790288148398,0.70034424077329,1.5948999988655859,0.11073459989473695,0.47148417014004784,AT1G01140,False,False
0.8547094064596868,-3.18425958394535,4.158205594631575,-0.7657773314663345,0.4438088045099662,,AT1G01150,False,False
