gene_id,baseMean,log2FoldChange,shrunk_log2FoldChange,pvalue,padj
AT1G01010,105.16666666666667,0.9830468667188029,0.9830468667188029,0.050426366686265066,1.0
AT1G01020,313.8333333333333,-0.20042022249575303,-0.20042022249575303,0.5537306983582002,1.0
AT1G01030,51.666666666666664,-0.1645357720118906,-0.1645357720118906,0.7507026782365209,1.0
AT1G01040,75.33333333333333,-0.1260797483795753,-0.1260797483795753,0.7771928314326977,1.0
AT1G01046,0.0,0.0,0.0,1.0,1.0
AT1G01050,1548.6666666666667,-0.6676923968405728,-0.6676923968405728,0.16668004565873518,1.0
AT1G01060,188.5,-5.878776959399605,-5.878776959399605,0.0239914983723472,1.0
AT1G01070,254.16666666666666,0.23990107119118964,0.23990107119118964,0.4930729740129264,1.0
AT1G01080,36.333333333333336,-0.2064508774674265,-0.2064508774674265,0.6632903284555817,1.0
AT1G01090,1069.3333333333333,-0.1826584913501008,-0.1826584913501008,0.45513243058616126,1.0
AT1G01100,6000.0,-0.6778114673394078,-0.6778114673394078,0.2679542968182762,1.0
AT1G01110,287.5,0.29607466759780143,0.29607466759780143,0.46478762847505506,1.0
AT1G01120,10.166666666666666,-0.1292830169449665,-0.1292830169449665,0.877052272267446,1.0
AT1G01130,10.833333333333334,-0.6189098326444937,-0.6189098326444937,0.4337806517983571,1.0
AT1G01140,40.333333333333336,0.7868261086929308,0.7868261086929308,0.43450639028798055,1.0
AT1G01150,1.1666666666666667,-1.7369655941662063,-1.7369655941662063,0.4226497308103741,1.0
AT1G01160,517.3333333333334,-0.6023795537985654,-0.6023795537985654,0.20124852716407743,1.0
AT1G01170,149.33333333333334,-0.20507294513642169,-0.20507294513642169,0.5842758274760301,1.0
AT1G01180,48.833333333333336,0.45734830413680816,0.45734830413680816,0.6955731658939555,1.0
AT1G01183,0.16666666666666666,0.41503749927884376,0.41503749927884376,0.4226497308103743,1.0
AT1G01190,3.5,-2.137503523749935,-2.137503523749935,0.2156301810258837,1.0
AT1G01200,20.333333333333332,-1.8365012677171206,-1.8365012677171206,0.4086832552060826,1.0
AT1G01210,249.33333333333334,-0.6768233589153788,-0.6768233589153788,0.23394515933516302,1.0
AT1G01220,50.5,-0.17764291460314902,-0.17764291460314902,0.4182898400780349,1.0
AT1G01225,99.5,-0.9892469437031254,-0.9892469437031254,0.2925205163439652,1.0
AT1G01230,486.5,-0.6179209881064317,-0.6179209881064317,0.31342867914376155,1.0
AT1G01240,195.0,-0.21631790692676345,-0.21631790692676345,0.651790623547917,1.0
AT1G01250,0.0,0.0,0.0,1.0,1.0
