gene_id,osd120_lfc,osd120_se,osd120_pval,osd120_padj,osd658_lfc,osd658_se,osd658_pval,osd658_padj,meta_lfc,meta_se,meta_z,meta_pval,meta_ci_lower,meta_ci_upper,q_stat,pval_q,i2_percent,convergence_classification,status,meta_padj
-,,,,,1.48764,0.5991807603542789,5e-05,0.00680385,,,,,,,,,,SINGLE_DATASET_ONLY,SINGLE_DATASET_ONLY,
AT1G01010,1.1403918216955724,0.1033227945027235,0.0003894261266177,0.5388276715237375,-0.247927,0.88640012012828,0.6124,0.999754,1.1217812063598216,0.10262792942463235,10.930564541727723,0.0,0.9206304646875422,1.322931948032101,2.420235666704378,0.11977690987231193,58.68170964682564,DISCORDANT,META_ANALYZED,0.0
AT1G01020,-0.0641549373191398,0.1269117729097887,0.6463508868448898,0.8683793930581634,0.17618,0.49361201389667153,0.53705,0.999754,-0.04925277026825417,0.12291417791977556,-0.4007086171979346,0.6886346656752462,-0.29016455899101423,0.19165901845450592,0.2223629944180043,0.6372453036928725,0.0,DISCORDANT,META_ANALYZED,0.8570020415931024
AT1G01030,-0.106144159202857,0.2296499272363857,0.6788129390965696,0.8829131360095479,0.0696402,0.7913596141848871,0.87695,0.999754,-0.09249046933371265,0.22055087488546396,-0.41936115366463456,0.6749522097205816,-0.524770184109222,0.33978924544179673,0.04550903639568074,0.8310707682450763,0.0,DISCORDANT,META_ANALYZED,0.8493817422011493
AT1G01040,-0.0216075707773725,0.2518412818629073,0.9363954290321728,0.9791166999478106,-0.199193,1.8772842508034342,0.84805,0.999754,-0.024747029030334593,0.24960525721076168,-0.0991446626840824,0.9210234110581008,-0.5139733331634274,0.46447927510275827,0.008790391124431984,0.9253021220876722,0.0,CONCORDANT,META_ANALYZED,0.9616509637876993
AT1G01046,,,,,,,1.0,1.0,,,,,,,,,,NOT_META_ANALYZABLE,NOT_META_ANALYZABLE,
AT1G01050,-0.5216663486324825,0.1343992949525818,0.0290330697782894,0.5584929872320218,0.0597458,0.3997256919587602,0.79235,0.999754,-0.46261370353793524,0.12739127656078475,-3.631439420557177,0.0002818448212553726,-0.7123006055970733,-0.21292680147879714,1.9007695962199787,0.1679922020314455,47.389730875921025,DISCORDANT,META_ANALYZED,0.004424764610586364
AT1G01060,-6.033949430092843,0.3155230279066558,0.0026316283613607,0.5388276715237375,-2.59555,0.9660196884827957,0.00015,0.0166791,-5.702495066542817,0.29992984646796506,-19.01276293005368,0.0,-6.290357565620029,-5.1146325674656055,11.447692232245142,0.0007158284528295811,91.2646149135346,HETEROGENEOUS,META_ANALYZED,0.0
AT1G01070,0.3806443549394543,0.3991467181396306,0.3992745850060792,0.7482993774790339,-0.551129,0.5691176713562276,0.0962,0.999754,0.07343334274089647,0.3267874104380026,0.22471288793675265,0.8222026378850558,-0.5670699817175886,0.7139366671993814,1.7967263659067285,0.18010876565317868,44.3432222638229,DISCORDANT,META_ANALYZED,0.9225552976980431
AT1G01073,,,,,0.0,,1.0,1.0,,,,,,,,,,NOT_META_ANALYZABLE,NOT_META_ANALYZABLE,
AT1G01080,0.0114888445623512,1.202353095104381,0.9928479026786596,0.997787952880272,-0.570778,0.9272514901089904,0.2822,0.999754,-0.3536270392545117,0.7342633859603324,-0.48160788896208967,0.6300845209519554,-1.7927832757367632,1.0855291972277397,0.14705802752908925,0.701362816856153,0.0,DISCORDANT,META_ANALYZED,0.8275303512336727
AT1G01090,-0.1120077731062438,0.2841346619945018,0.7181013484253868,0.8993461080404431,-0.13083,0.4047319265833671,0.5623,0.999754,-0.11822173737919377,0.23254999693603332,-0.5083712704228184,0.6111929968206393,-0.574019731373819,0.3375762566154315,0.00144874290465584,0.9696379655223175,0.0,CONCORDANT,META_ANALYZED,0.8177623533312269
AT1G01100,-0.5080643986180953,0.1851996407767636,0.1041647968206076,0.5948549066479669,-0.336173,0.3497062834637642,0.10375,0.999754,-0.470414744159607,0.16366539402710512,-2.874246855640724,0.004049922836859121,-0.791198916452733,-0.149630571866481,0.1886839068356791,0.6640142550164655,0.0,CONCORDANT,META_ANALYZED,0.03512190607349733
AT1G01110,0.405965405728852,0.3405758486080209,0.3237922501539535,0.7094076897339526,-0.523798,0.4767607813154206,0.0589,0.81171,0.09181652948926597,0.2771290503937227,0.33131326130847855,0.7404078753712173,-0.4513564092824305,0.6349894682609625,2.5181422778978737,0.11254309850953603,60.288185112606406,DISCORDANT,META_ANALYZED,0.8821615657087916
AT1G01115,,,,,inf,,1.0,1.0,,,,,,,,,,NOT_META_ANALYZABLE,NOT_META_ANALYZABLE,
AT1G01120,0.0021735198659008,0.0066414425940306,0.764757183130934,0.917169334973852,-2.28942,1.1828449202281557,0.0066,0.236955,0.002101277306761121,0.006641337907360241,0.3163936748998101,0.7517037172736898,-0.010915744991664953,0.015118299605187194,3.7532358968406005,0.05270538407446834,73.35632431625787,DISCORDANT,META_ANALYZED,0.8883851757770704
AT1G01130,-0.5435085431955036,0.7487506313854452,0.5125513550645575,0.8034720546948357,,,,,,,,,,,,,,SINGLE_DATASET_ONLY,SINGLE_DATASET_ONLY,
"AT1G01130,AT1G01140",,,,,0.154119,1.6289703238408098,0.85705,0.999754,,,,,,,,,,SINGLE_DATASET_ONLY,SINGLE_DATASET_ONLY,
AT1G01140,1.1468506456931238,0.6252406017449709,0.1986717354356347,0.6387601828432432,-0.0867696,2.0347339145768943,0.9401,0.999754,1.0404179011160775,0.597660440374993,1.7408177467179908,0.08171553018352284,-0.13099656201890886,2.2118323642510638,0.33586318716402985,0.5622268576157636,0.0,DISCORDANT,META_ANALYZED,0.2752970105230382
AT1G01150,,,,,,,1.0,1.0,,,,,,,,,,NOT_META_ANALYZABLE,NOT_META_ANALYZABLE,
AT1G01160,-0.4541912779201412,0.1273177592351339,0.063494079411626,0.5776678688724508,-0.0893069,0.5671503689685392,0.78135,0.999754,-0.43668537792878487,0.12422608697724116,-3.5152469868006695,0.0004393451775484003,-0.6801685084041775,-0.1932022474533922,0.3940594437817584,0.5301732667396203,0.0,CONCORDANT,META_ANALYZED,0.006340753499348805
AT1G01170,-0.0888233245685852,0.2164976407293378,0.7047243291461482,0.8932779645911502,1.14966,1.3783388143499928,0.1897,0.999754,-0.05900385603509364,0.21387540939095212,-0.27587957027466364,0.782640565771596,-0.47819965844135975,0.3601919463711725,0.7879229061048255,0.37472893292596965,0.0,DISCORDANT,META_ANALYZED,0.9027568324569522
AT1G01180,0.4720577745822224,1.6618782122428462,0.7920687582236324,0.9284635096534226,0.912463,1.4049174875823354,0.27885,0.999754,0.728903814336079,1.0729043933942102,0.6793744333827727,0.49690064504941445,-1.373988796716573,2.8317964253887307,0.0409568878411543,0.839621162360924,0.0,CONCORDANT,META_ANALYZED,0.7411222803919059
