gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,shrunk_log2FoldChange,padj
AT4G04720,216.4779067711811,0.3391227171053598,0.011294426233274944,30.025670193520526,8.442608350029258e-06,0.10684956718538532,0.18091665433277698
AT1G24450,291.73499215551163,-0.6932116045142654,0.14211013552653207,-4.877988483691526,0.008285041181468092,-0.4559866083216486,0.5388276715237375
AT2G05510,329.899658194528,2.7826894420685804,0.3232297256059521,8.609014646941676,0.0028799301931103595,2.695658166822183,0.5388276715237375
AT2G05590,186.8021653389183,-0.414839390484798,0.06105048009031506,-6.795022575925778,0.0062760987546435715,-0.16913486056340837,0.5388276715237375
AT1G71820,284.3391031678014,0.38891242966696477,0.04698601029640287,8.277196280628639,0.002253065358955499,0.14660112734407613,0.5388276715237375
AT1G71865,189.50344979229408,-0.5494105972442579,0.09120393465651493,-6.023979111355281,0.007844709769083158,-0.30051660351982024,0.5388276715237375
AT5G45470,341.14001759482994,0.9992396084070393,0.11569347917065548,8.636957031373353,0.0011481990379866467,0.7991483429333611,0.5388276715237375
AT4G37930,110.22943391658193,-1.5256497034813532,0.14700272397660055,-10.37837709540812,0.0005255349138837154,-1.3776781844536667,0.5388276715237375
AT1G71140,14.872825507995712,6.910493652710235,0.45629453410226084,15.144809188447377,0.0004210999285339555,6.8745051889790725,0.5388276715237375
AT4G16710,336.6908499739213,-0.46946245269310805,0.07285285384764023,-6.443981641061194,0.006228414556029636,-0.21995806904024545,0.5388276715237375
AT2G31305,194.7517788375925,-0.41270261911403683,0.07702074334432868,-5.358330771607979,0.00803256241774958,-0.16723533830712833,0.5388276715237375
AT2G31180,8.870546334326027,-2.4316040523760454,0.39793789066243784,-6.110511487931475,0.003673877921360847,-2.332962031185951,0.5388276715237375
AT1G27850,120.37836882966506,0.6895895901838144,0.1304367350152389,5.286774389923589,0.007029327803476713,0.4519750271417124,0.5388276715237375
AT1G21670,42.69798289393051,1.3257444506732703,0.23084595500898364,5.74298324015111,0.004585391855637538,1.1606536032348649,0.5388276715237375
AT5G03880,156.99883634137072,-0.5759496373290567,0.0567932599592117,-10.1411617812166,0.0005751815607362299,-0.3284286510271628,0.5388276715237375
AT4G13950,112.9120037243273,-0.6343189638782664,0.05379583588562659,-11.791227953532859,0.00044999327263472506,-0.3912329258408742,0.5388276715237375
AT3G01210,24.73801852944843,-1.4223143168569128,0.17474634142011852,-8.139308126843346,0.004847974553021487,-1.265877001264232,0.5388276715237375
AT1G01010,104.72226129027189,1.1403918216955724,0.10332279450272353,11.037175554378878,0.0003894261266177457,0.9565162013601272,0.5388276715237375
AT1G79529,165.12045577377992,0.19189422757732505,0.03220573793277082,5.9583862968115335,0.007193446650569672,0.02463605477381948,0.5388276715237375
AT2G33990,282.0953607668121,-0.3818382709115096,0.07194520967926837,-5.307348086324913,0.007779895696870595,-0.1406572311270446,0.5388276715237375
AT5G19380,125.60669632610806,-0.44255274659860117,0.05872766134488822,-7.535678017206144,0.0023981959113452264,-0.19440323735196183,0.5388276715237375
AT1G02160,525.8642556867777,-0.5332510058199201,0.08889900870026997,-5.998390911397202,0.006032795030507361,-0.2837682771117822,0.5388276715237375
AT5G47710,360.14030279331473,-0.7129606008109696,0.12176591614381085,-5.855173790742329,0.006670883170944939,-0.47791228578937933,0.5388276715237375
AT1G27385,181.06629226112656,-0.8073073526864376,0.058044957472155295,-13.908311554431071,0.0021481970568201,-0.5834893088049887,0.5388276715237375
AT1G22770,171.46030106822442,1.6271383213358037,0.08407742010798923,19.352857393172908,0.0005983642441431145,1.4867505824881833,0.5388276715237375
AT1G25570,100.19451163350836,0.46560638922120845,0.050273440377875574,9.261478540587673,0.0057601111571396,0.21623993011313933,0.5388276715237375
AT1G26120,114.25940766872763,0.6383097904581754,0.12248343779146409,5.2113967567185595,0.00783346743790069,0.3955840724940726,0.5388276715237375
AT3G13235,290.6788285688573,0.6122482082543125,0.1070748026134864,5.717948511792988,0.005789945770028021,0.3672892994107631,0.5388276715237375
AT5G60310,9.31678110736314,2.02201906237953,0.3331797594136846,6.068853239878053,0.007527704816541652,1.9055046800143505,0.5388276715237375
AT5G60340,920.4718758276654,-0.28656277707981004,0.04855927254615762,-5.9012988056487075,0.004579621544325418,-0.07085436714490988,0.5388276715237375
AT2G33770,471.92149650798075,1.771009257436971,0.35106987667158435,5.0446061457266484,0.009030780541530703,1.6402678603896523,0.5388276715237375
AT3G13882,1238.8704864915367,-0.402568357562874,0.06815141914318333,-5.906969548456422,0.005343659864977071,-0.15832777087765537,0.5388276715237375
AT5G03500,449.24733946748324,-0.43225643398689434,0.04259687668621494,-10.147608642085718,0.0038380533791816554,-0.18488275692367623,0.5388276715237375
AT1G20110,306.89456480135095,0.8363054154716713,0.09579912246422295,8.729781588385604,0.0013681314691106972,0.6160875222241551,0.5388276715237375
AT1G31130,468.7976320985102,0.48584008058672495,0.10166573189995128,4.778798829332559,0.008786591401479419,0.23594321154143852,0.5388276715237375
